[06-Mar-2026 09:59:33] NOTICE: fpm is running, pid 19
[06-Mar-2026 09:59:33] NOTICE: ready to handle connections
127.0.0.1 -  06/Mar/2026:10:02:36 +0000 "GET /index.php" 404
127.0.0.1 -  06/Mar/2026:10:02:38 +0000 "GET /index.php" 404
127.0.0.1 -  06/Mar/2026:10:02:38 +0000 "GET /index.php" 404
127.0.0.1 -  06/Mar/2026:10:02:40 +0000 "GET /index.php" 404
127.0.0.1 -  06/Mar/2026:10:02:42 +0000 "GET /index.php" 404
127.0.0.1 -  06/Mar/2026:10:02:44 +0000 "GET /index.php" 404
127.0.0.1 -  06/Mar/2026:10:27:16 +0000 "GET /index.php" 404
127.0.0.1 -  06/Mar/2026:10:27:18 +0000 "GET /index.php" 404
127.0.0.1 -  06/Mar/2026:10:27:18 +0000 "GET /index.php" 404
127.0.0.1 -  06/Mar/2026:10:27:20 +0000 "GET /index.php" 404
127.0.0.1 -  06/Mar/2026:10:27:22 +0000 "GET /index.php" 404
127.0.0.1 -  06/Mar/2026:10:27:24 +0000 "GET /index.php" 404
[06-Mar-2026 10:27:29] NOTICE: Terminating ...
[06-Mar-2026 10:27:29] NOTICE: exiting, bye-bye!
[06-Mar-2026 10:27:47] NOTICE: fpm is running, pid 19
[06-Mar-2026 10:27:47] NOTICE: ready to handle connections
127.0.0.1 -  06/Mar/2026:10:28:10 +0000 "GET /index.php" 404
127.0.0.1 -  06/Mar/2026:10:28:12 +0000 "GET /index.php" 404
127.0.0.1 -  06/Mar/2026:10:28:12 +0000 "GET /index.php" 404
127.0.0.1 -  06/Mar/2026:10:28:13 +0000 "GET /index.php" 404
127.0.0.1 -  06/Mar/2026:10:28:14 +0000 "GET /index.php" 404
127.0.0.1 -  06/Mar/2026:10:28:14 +0000 "GET /index.php" 404
127.0.0.1 -  06/Mar/2026:10:28:17 +0000 "GET /index.php" 404
127.0.0.1 -  06/Mar/2026:10:28:18 +0000 "GET /index.php" 404
127.0.0.1 -  06/Mar/2026:10:28:18 +0000 "GET /index.php" 404
127.0.0.1 -  06/Mar/2026:10:29:45 +0000 "GET /index.php" 404
127.0.0.1 -  06/Mar/2026:10:29:47 +0000 "GET /index.php" 404
127.0.0.1 -  06/Mar/2026:10:29:49 +0000 "GET /index.php" 404
